,region,pm,horizon,accuracy,hit,pod,far,f1
37,R4_63,PM25,4,0.5994318181818182,0.45,0.5,0.8245614035087719,0.2597402597402597
38,R4_63,PM25,5,0.6164772727272727,0.2,0.2,0.9090909090909091,0.12500000000000003
39,R4_63,PM25,6,0.625,0.25,0.35,0.8292682926829268,0.2295081967213115
40,R4_64,PM10,3,0.7272727272727273,0.0,0.0,1.0,0.0
41,R4_64,PM10,4,0.7329545454545454,0.0,0.0,1.0,0.0
42,R4_64,PM10,5,0.7244318181818182,0.0,0.0,1.0,0.0
43,R4_64,PM10,6,0.7357954545454546,0.0,0.0,1.0,0.0
44,R4_64,PM25,3,0.6931818181818182,0.4,0.4,0.8260869565217391,0.24242424242424243
45,R4_64,PM25,4,0.6988636363636364,0.4,0.5,0.782608695652174,0.303030303030303
46,R4_64,PM25,5,0.6789772727272727,0.3,0.3,0.8,0.23999999999999996
47,R4_64,PM25,6,0.6988636363636364,0.2,0.2,0.8461538461538461,0.17391304347826086
48,R4_65,PM10,3,0.5965909090909091,0.1111111111111111,0.1111111111111111,0.8181818181818182,0.13793103448275862
49,R4_65,PM10,4,0.6448863636363636,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.14814814814814814
50,R4_65,PM10,5,0.6420454545454546,0.1111111111111111,0.1111111111111111,0.75,0.15384615384615383
51,R4_65,PM10,6,0.5880681818181818,0.05555555555555555,0.05555555555555555,0.8571428571428571,0.08000000000000002
52,R4_65,PM25,3,0.5397727272727273,0.3783783783783784,0.5135135135135135,0.7397260273972602,0.3454545454545455
53,R4_65,PM25,4,0.48011363636363635,0.2972972972972973,0.4594594594594595,0.7792207792207793,0.2982456140350877
54,R4_65,PM25,5,0.5,0.2702702702702703,0.32432432432432434,0.7966101694915254,0.25
55,R4_65,PM25,6,0.48579545454545453,0.2702702702702703,0.43243243243243246,0.7681159420289855,0.30188679245283023
56,R4_66,PM10,3,0.6477272727272727,0.2857142857142857,0.2857142857142857,0.75,0.26666666666666666
57,R4_66,PM10,4,0.6363636363636364,0.07142857142857142,0.07142857142857142,0.9230769230769231,0.07407407407407404
58,R4_66,PM10,5,0.6164772727272727,0.07142857142857142,0.07142857142857142,0.8888888888888888,0.08695652173913045
59,R4_66,PM10,6,0.6335227272727273,0.07142857142857142,0.07142857142857142,0.875,0.09090909090909091
60,R4_66,PM25,3,0.5284090909090909,0.3103448275862069,0.5172413793103449,0.810126582278481,0.2777777777777778
61,R4_66,PM25,4,0.5284090909090909,0.4482758620689655,0.5517241379310345,0.7948717948717948,0.2990654205607477
62,R4_66,PM25,5,0.5,0.2413793103448276,0.27586206896551724,0.8933333333333333,0.15384615384615388
63,R4_66,PM25,6,0.48295454545454547,0.2413793103448276,0.3103448275862069,0.8767123287671232,0.17647058823529416
64,R4_67,PM10,3,0.6505681818181818,0.2,0.2,0.875,0.15384615384615385
65,R4_67,PM10,4,0.6420454545454546,0.0,0.0,1.0,0.0
66,R4_67,PM10,5,0.6306818181818182,0.0,0.0,1.0,0.0
67,R4_67,PM10,6,0.6363636363636364,0.2,0.2,0.8,0.19999999999999998
68,R4_67,PM25,3,0.5142045454545454,0.3235294117647059,0.47058823529411764,0.7837837837837838,0.29629629629629634
69,R4_67,PM25,4,0.5227272727272727,0.4411764705882353,0.5,0.7733333333333333,0.3119266055045872
70,R4_67,PM25,5,0.48295454545454547,0.2647058823529412,0.29411764705882354,0.8571428571428571,0.19230769230769237
71,R4_67,PM25,6,0.48863636363636365,0.2647058823529412,0.3235294117647059,0.8450704225352113,0.20952380952380956
72,R4_68,PM10,3,0.6590909090909091,0.14285714285714285,0.14285714285714285,0.75,0.18181818181818182
73,R4_68,PM10,4,0.6392045454545454,0.07142857142857142,0.07142857142857142,0.8333333333333334,0.09999999999999998
74,R4_68,PM10,5,0.625,0.07142857142857142,0.07142857142857142,0.8333333333333334,0.09999999999999998
75,R4_68,PM10,6,0.6136363636363636,0.0,0.0,1.0,0.0
76,R4_68,PM25,3,0.5653409090909091,0.5,0.5869565217391305,0.6625,0.4285714285714286
77,R4_68,PM25,4,0.5255681818181818,0.45652173913043476,0.5434782608695652,0.6666666666666666,0.4132231404958678
78,R4_68,PM25,5,0.5085227272727273,0.2826086956521739,0.34782608695652173,0.746031746031746,0.2935779816513761
79,R4_68,PM25,6,0.5284090909090909,0.3695652173913043,0.391304347826087,0.7428571428571429,0.3103448275862069
80,R4_69,PM10,3,0.6647727272727273,0.0,0.0,1.0,0.0
81,R4_69,PM10,4,0.6931818181818182,0.0,0.0,1.0,0.0
82,R4_69,PM10,5,0.6619318181818182,0.0,0.0,1.0,0.0
83,R4_69,PM10,6,0.6448863636363636,0.0,0.0,1.0,0.0
84,R4_69,PM25,3,0.5198863636363636,0.3125,0.375,0.7894736842105263,0.2696629213483146
85,R4_69,PM25,4,0.5397727272727273,0.40625,0.46875,0.7457627118644068,0.32967032967032966
86,R4_69,PM25,5,0.5028409090909091,0.21875,0.28125,0.8235294117647058,0.2168674698795181
87,R4_69,PM25,6,0.4630681818181818,0.28125,0.28125,0.8392857142857143,0.20454545454545453
88,R4_70,PM10,3,0.6647727272727273,0.0,0.0,1.0,0.0
89,R4_70,PM10,4,0.6363636363636364,0.0,0.0,1.0,0.0
90,R4_70,PM10,5,0.6306818181818182,0.0,0.0,1.0,0.0
91,R4_70,PM10,6,0.5823863636363636,0.0,0.0,1.0,0.0
92,R4_70,PM25,3,0.5482954545454546,0.46875,0.5,0.7377049180327869,0.3440860215053763
93,R4_70,PM25,4,0.5255681818181818,0.53125,0.5625,0.7272727272727273,0.36734693877551017
94,R4_70,PM25,5,0.48863636363636365,0.25,0.28125,0.8333333333333334,0.2093023255813953
95,R4_70,PM25,6,0.4772727272727273,0.21875,0.25,0.864406779661017,0.1758241758241758
96,R4_71,PM10,3,0.71875,0.0,0.0,1.0,0.0
97,R4_71,PM10,4,0.6931818181818182,0.14285714285714285,0.14285714285714285,0.0,0.25
98,R4_71,PM10,5,0.6789772727272727,0.14285714285714285,0.14285714285714285,0.0,0.25
99,R4_71,PM10,6,0.65625,0.0,0.0,1.0,0.0
100,R4_71,PM25,3,0.5852272727272727,0.3333333333333333,0.3333333333333333,0.8775510204081632,0.17910447761194032
101,R4_71,PM25,4,0.5653409090909091,0.4444444444444444,0.5,0.8363636363636363,0.2465753424657535
102,R4_71,PM25,5,0.5284090909090909,0.1111111111111111,0.16666666666666666,0.9318181818181818,0.09677419354838714
103,R4_71,PM25,6,0.5113636363636364,0.2222222222222222,0.2222222222222222,0.9130434782608695,0.12500000000000006
104,R4_72,PM10,3,0.6988636363636364,0.0,0.0,1.0,0.0
105,R4_72,PM10,4,0.7130681818181818,0.0,0.0,1.0,0.0
